id_match,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
583,41205.7415161133,37738.9764709473,34904.1885070801,22734.3639984131,14473.4703674316,15507.7331848145,10631.4439086914,10602.9761962891,7295.16830444336,5409.52849578858,4776.44209289551,2862.33492660523,2200.85771560669,5639.80416870117,137038.31186676,0.683160872835862,0.704575028684404,0.68681737780571,44.4479588960346,32.2003424962362,43.6845399803586,UGA,Uganda,Kyegegwa,District
602,97394.48046875,88832.26953125,81076.7186279298,49247.819519043,34936.0267944336,36061.724395752,27327.7174072266,26005.6806030274,16147.5966491699,13554.2299346924,12354.9037628174,8734.0066986084,6629.86164093018,14459.0493927002,326535.335426331,0.730605647844427,0.733840409447165,0.715187286629396,9.96896334255443,11.8211149047403,17.0096067252912,UGA,Uganda,Mityana,District
627,114999.585693359,106460.014404297,95073.905029297,58638.4016113281,33019.6813964844,34158.2905273438,26188.0240478516,25618.7198486328,19356.366394043,14232.6214294434,13094.0120239258,6262.35336303711,6831.65824890137,15940.5364990235,348414.570419312,0.735446564853191,0.732223562896252,0.711279258131981,8.47851407527924,12.0772968530655,17.7858893871307,UGA,Uganda,Jinja,District
514,74571.0839843751,68947.3672485352,61518.4362182618,37987.6123046875,21484.64453125,22126.6846008301,16952.0532073975,16534.9042205811,12547.5272064209,9274.1468963623,8464.02048492432,4123.44634246826,4452.55084991455,10413.2180633545,225879.244926453,0.725225438674291,0.7242717842261,0.699189692735672,10.4010119040807,14.8450750509898,27.6415532430013,UGA,Uganda,Bugiri,District
330,303724.234497994,270152.051480718,209257.513024811,186329.733438192,182566.057780149,188595.582845029,159425.631670727,111239.757395329,82989.682467551,75688.3032739498,60859.793447773,49306.8020686522,37176.5950389383,68289.0998833953,1411724.5523345,0.631410368531942,0.623169188146238,0.60908732480473,24.1133361600339,32.6574633592441,35.3993483126164,KEN,Kenya,Meru,County
586,91407.2904510498,83952.0283470154,77223.3355827332,50712.3560409546,32051.8691558838,34275.2126140595,23492.3639965057,23408.8037967682,16307.2195911408,12017.0218963623,10684.4427437782,6310.68587803841,4936.32667851448,12662.9428496361,304082.580824375,0.702608623674938,0.708487351025854,0.674559750727245,22.4021888290133,31.2062657560621,53.1605800266924,UGA,Uganda,Kamwenge,District
578,302262.834472656,268907.109375,234862.556640625,166842.07989502,145625.48336792,150267.466918945,104955.189117432,84407.6912536621,67473.9127502442,54557.0114898682,42543.457397461,28816.1171798706,17408.0998916626,46829.7514648438,1144588.81736755,0.771240984851664,0.776530823924325,0.773610385981473,6.36610026318919,6.10771138627421,5.8668271329092,UGA,Uganda,Wakiso,District
515,110841.126403809,101051.014648438,92132.6256103517,56042.7241210938,39077.6450958252,40239.1628112793,30490.451248169,29370.3330383301,18127.7484970093,15058.3486404419,13896.828918457,9624.50856399536,7508.4739112854,16261.2688484192,367830.119304657,0.706762115160624,0.71826237042745,0.705089791615804,19.3021903673808,20.0236042022705,19.4291131973267,UGA,Uganda,Buikwe,District
557,74429.7082519532,68902.7514648438,61533.4649047852,37951.78125,21370.9052429199,22107.8323669434,16949.3391723633,16580.8757629395,12527.7729187012,9211.59722900391,8474.66958618165,4053.10266876221,4421.56649780274,10316.9891662598,225499.896766663,0.710896447300911,0.729674691955249,0.692317927877108,13.6669050852458,12.6391504605611,29.2817274729411,UGA,Uganda,Mayuge,District
629,54743.4099121094,50025.3326416016,44066.9566650391,27973.5508422852,16627.8158569336,16455.4401550293,12666.0231323242,11886.2990417481,9233.08059692383,7029.23107910156,6201.12684631348,3374.47794342041,3386.98554992676,7891.70422363281,166792.691932678,0.712966826226976,0.72026703092787,0.700916561815474,11.4187406963772,13.0676690207587,27.7879192564223,UGA,Uganda,Busia,District
346,183163.250976563,157799.383300781,115270.3984375,103178.934265137,97395.7821044923,85008.9694213868,69858.1177368164,49978.419921875,37382.6451873779,31717.5812225342,24502.4851989746,20279.3704986572,13347.3289871216,27896.3963317871,675816.42931366,0.705626007169485,0.678821651265025,0.643471891060472,4.50675967335701,7.8216223269701,13.9130606129766,KEN,Kenya,Nandi,County
406,31897.7629210949,32590.5020673275,23746.4864016771,18004.1586233974,16114.0357608199,14024.8882072568,12583.100910157,9315.99369236827,7876.41249197722,6749.57101888956,5389.02439078689,4837.86318750679,3242.57897495478,5021.63445959985,126905.748119392,0.500240249014818,0.500155373978752,0.499984206885614,34.885374570466,35.0865738635557,56.4976207819518,COG,Congo,Cuvette,Region
588,165059.199008685,151234.140229456,139987.063851245,91596.7682482117,57908.4872221183,62201.0251455587,42340.2937842356,42336.9815633046,29385.4355048025,21605.4069871884,19019.7092366354,11242.2241829014,8653.0335530613,22476.9508516146,548753.380130877,0.700088936090469,0.707317237670605,0.700109432905148,23.0304372191429,26.3872315455706,22.3174869386773,UGA,Uganda,Kasese,District
808,89489.0289215893,82675.101461649,74433.5333912373,45627.0334937945,29525.7366447225,30804.4990107492,23550.4489210285,21502.2715788223,15927.0629317835,12694.3748515342,11037.145662738,6685.4060098771,5639.83861141372,13339.9631342832,290767.314241984,0.697733840337648,0.714994316942552,0.680588485914118,25.6097398099677,24.0181103054215,38.3604591004989,UGA,Uganda,Lake Victoria,Water Body
628,19111.8264160156,17692.6313476563,15800.3693847656,9745.13891601563,5487.55383300781,5676.77963256836,4352.19799804688,4257.58511352539,3216.84216308594,2365.32499694824,2176.09899902344,1040.74297714233,1135.35595703125,2649.16401672363,57903.1539878845,0.714674031734467,0.732085525989533,0.673305928707123,12.3325469017029,12.505099105835,44.9042453765869,UGA,Uganda,Namayingo,District
373,25121.0236511231,23929.0715332031,22092.82006073,19667.6356277466,15706.0174789429,12901.6623764038,12322.6306114197,9211.8151473999,9794.99544143676,6273.64926528931,5124.64986991882,4139.20043563843,2974.51211071015,5063.51473617554,125273.103161812,,,0.5,,,14.7522814803653,STP,Sao Tome And Principe,Sao Tome,Municipality
591,50862.6432495117,47926.8062744141,43204.6731796265,26102.4346923828,19043.2323608398,20646.1657676697,15885.3567276001,12196.7496490479,11027.8577060699,9366.9108543396,6981.850233078,4760.80809020996,3119.19926548004,8623.45858192444,180958.697108269,0.688464369092669,0.707296164262862,0.67304079305558,43.0333034424555,33.8808311394283,61.7005230502079,UGA,Uganda,Gomba,District
593,68751.4963378906,64952.3249511719,58495.3302001954,35325.1688842774,25828.9013061523,28107.4596557617,21650.2326965332,16333.9100646973,15192.427444458,12913.5227661133,9495.80387878418,6457.22532653809,4178.43674468994,11774.5917663574,245753.010734558,0.715522229671478,0.740135754857745,0.741152209894998,17.0303418636322,12.9243743249348,8.82779169999636,UGA,Uganda,Mpigi,District
