shape_id,A0004,A0509,A1014,A1519,A2024,A2529,A3034,A3539,A4044,A4549,A5054,A5559,A6064,A65PL,pop,pseektrtdisp10x10,pseektrthc10x10,pseektrthosp10x10,ssatrtmindisp10x10,ssatrtminhc10x10,ssatrtminhosp10x10,iso,country,admin_name,admin_type
1841,32095.7401123047,33425.9250488282,31668.978515625,31383.8085937501,28371.4555358887,25063.1184692383,19372.7263793945,15773.9523925781,13770.1194458008,10742.595779419,9163.56596374512,4669.51725006103,5239.32625579834,8786.40803527832,204005.572616577,0.563058171953474,0.482535567134619,0.504231862723827,10.8375904219491,17.1260722279549,11.6743665933609,NGA,Nigeria,Ogba/ Egbema/ Ndoni,Local Government Area
1865,19275.6613769531,19934.19921875,19698.8901367188,19406.388671875,16546.7409667969,13850.5020751953,10654.2316894531,9031.58618164062,8268.46801757814,6807.59637451173,5967.67687988282,3338.43487548829,3542.69546508789,7075.58642578125,124188.79776001,0.791797444224358,0.635125920176506,0.67896019667387,3.67609703540802,10.1929072737694,8.52209689617157,NGA,Nigeria,Owerri West,Local Government Area
1866,57126.6960449219,59078.3837890625,58381.0034179688,57514.1281738281,49039.076171875,41048.3139648438,31575.6236572266,26766.6387939453,24505.0091552734,20175.4672851563,17686.2235107422,9894.01849365235,10499.3795166016,20969.7016601563,368054.58380127,0.949218779802322,0.918521672487259,0.932567030191422,0.60522124171257,0.894570291042328,0.677353829145432,NGA,Nigeria,Owerri North,Local Government Area
1867,10927.9252929688,11301.0361328125,11180.9501953125,11016.55859375,9391.384765625,7865.47021484375,6051.56176757813,5125.1787109375,4691.1328125,3860.76867675781,3385.51196289063,1895.15802001953,2008.72521972656,4019.80651855469,70492.2074584961,0.950833976268768,0.918420135974884,0.878831267356873,0.523921430110931,0.719076454639435,1.08402907848358,NGA,Nigeria,Ezinihitte Mbaise,Local Government Area
1869,,,,,,,,,,,,,,,,0.965743213891983,0.920354783535004,0.953574895858765,0.374187722802162,0.701279759407044,0.37140366435051,NGA,Nigeria,Umuahia South,Local Government Area
1868,20730.4263916016,22020.9661865235,20509.2868652344,20039.9276123047,16983.8483886719,14695.3693847656,11352.753112793,9706.05096435548,8618.66503906251,6903.30099487305,5988.21594238281,3134.7059173584,3732.62387084961,5702.09558105468,127366.843673706,0.765985518693924,0.746471663316091,0.450525904695193,4.20086189111074,4.40440571308136,16.2759842077891,NGA,Nigeria,Ini,Local Government Area
1849,30949.0025634766,32068.8409423828,28926.3745727539,27868.1686706543,24682.4208374024,21425.6928710938,16296.8047027588,13536.8836669922,12003.3395080566,9283.3611907959,8148.8620376587,3814.65395355225,4698.3751449585,7659.89498901367,178344.832145691,0.69045096210071,0.657736541969436,0.587880456021854,6.78558131200927,7.12611080918993,8.9075454218047,NGA,Nigeria,Odukpani,Local Government Area
3990,17957.0074539185,17825.6356811523,15175.1259765625,13782.9545440674,10748.997177124,11621.0124588013,8212.6296081543,7584.48610687256,5436.90234375,5056.73454093933,3419.87022590637,2533.90568637848,2403.73480701447,4812.83228492737,90789.1857604981,0.459668238193561,0.48885965710733,0.462863473630533,43.0779689336434,31.1435608980132,49.6095204604299,CMR,Cameroon,Nguti,Health District
3912,14115.3034667969,14003.7629089356,11925.8889923096,10805.7271118164,8410.616355896,9069.71483612061,6419.44985961914,5923.83097076416,4251.14492797852,3951.29041290284,2681.30747413635,1989.92471694947,1886.09724235535,3780.62328338623,71095.6161842346,0.517690056562424,0.54647661447525,0.458703726530075,15.4174138069153,12.9984086990356,39.0485237121582,CMR,Cameroon,Fontem,Health District
4000,32065.8515625,30038.7008056641,26721.5427246094,20271.5154418946,13452.9141845703,9582.89849853517,8477.1794128418,7555.74728393555,6265.74142456055,5344.30856323243,5712.88159179688,4791.44924926758,4054.30322265625,9214.32571411133,121444.807312012,0.572054326534271,0.640461126963298,0.57794655362765,6.61948585510254,3.74665808677673,8.56208769480387,CMR,Cameroon,Penka Michel,Health District
3967,114602.359130859,107357.384521484,95501.9660644531,72449.7670898438,48080.2977294923,34248.9813232422,30297.1762084961,27004.0062866211,22393.5651245117,19100.392578125,20417.6608276367,17124.4906616211,14489.9537353516,32931.7130126954,434039.97064209,0.5947651664416,0.633353281021118,0.560284054279327,4.11627125740051,5.41700172424316,14.9914793968201,CMR,Cameroon,Mifi,Health District
3915,19860.7066345215,18605.1445922852,16550.5886535645,12555.6189575195,8332.36489868165,5935.38357543945,5250.53171539307,4679.82203674317,3880.8277206421,3310.11752319336,3538.40158843994,2967.69178771973,2511.12382888794,5707.09956359864,75219.571849823,0.47132318549686,0.560046219825745,0.488633719086647,17.1772380405002,11.0707182884216,38.6820893287659,CMR,Cameroon,Foumbot,Health District
3946,28225.2813110352,26430.9125976563,23510.3551330567,17840.3695678711,11848.8973999023,8448.09342193604,7464.35696411133,6652.73449707031,5520.61575317383,4706.02626419067,5030.97208023071,4218.36087036133,3570.44717788697,8111.28175354004,106922.510883331,0.46240844933883,0.519068624662316,0.44797000548114,25.9604374429454,18.9398276494897,53.8305659086808,CMR,Cameroon,Massangam,Health District
5502,42843.8546905518,43558.1943674088,34656.8609485626,25755.5249562264,21676.9328708649,16593.223815918,14778.3771061897,10713.1994256973,9445.62636113167,6892.59300863743,8164.63856256008,6378.1108096838,5361.07121205331,8694.02524089813,169110.184318423,0.463965774901145,0.497231776515643,0.482456654310226,38.1961007054928,28.1966354324107,38.6692736483457,CMR,Cameroon,Bertoua,Health District
5223,5243.9150428772,4071.12582397461,2605.62892913818,2367.61113739014,2345.05076599121,1935.51463890076,1680.29448604584,1290.51308345795,1239.74645805359,1045.36355400085,464.004946231842,514.771548271179,152.794617652893,397.685953140259,16038.9801182747,0.5,0.5,0.5,51.6953064773394,57.5209533267551,132.399951850043,CAF,Central African Republic,Abba,Sub-Prefecture
5237,21856.5899353027,13016.096408844,10200.0162506104,9643.21443748474,9774.50976753235,6571.42230224609,5654.97600746155,6131.32239723206,4293.95100879669,4021.89144611359,2768.24418354034,1990.66822719574,917.883986949921,2117.16265583038,64085.2626709938,0.50118011964692,0.501734407742818,0.498517538772689,20.423861111535,21.5437897410658,57.1068750338608,CAF,Central African Republic,Kouango,Sub-Prefecture
5112,8936.17075347901,6336.77498054504,4437.61797714233,4564.55233955384,3934.92686653137,3466.69605255127,3037.44770622254,2979.70608329773,1716.45228481293,2121.98104476929,915.563463687897,1062.29033470154,411.356363534927,562.757872343063,29211.3483891487,0.5,0.5,0.5,38.5520262358324,41.1896254971342,83.7652229093156,CAF,Central African Republic,Mingala,Sub-Prefecture
5320,,,,,,,,,,,,,,,,0.796001553535461,0.826434016227722,0.782303929328919,2.7898927628994,0.510865211486816,1.91482639312744,GHA,Ghana,Effutu,District
1872,48734.2074279785,48974.0390625,45610.616607666,43908.7178039551,38897.6925354004,33257.8651123047,25438.6374511719,21278.9118347168,18506.5603790283,15036.8854446411,12887.3165969849,7432.0110168457,7325.45708084107,15493.0182800293,285073.690143585,0.617800528094882,0.504523002583048,0.618459067914797,10.2822818415506,15.7771534608758,7.45344915241003,NGA,Nigeria,Burutu,Local Government Area
1864,53878.3413696289,53933.2949829102,50348.4501953125,48441.8889160157,43030.8063964844,36744.6487426759,28048.8638000488,23466.3524475098,20384.5717315674,16613.7207183838,14221.0071716309,8268.81386566163,8070.12602996826,17273.1982727051,314912.448287964,0.626784993069513,0.545762315392494,0.489537750681241,10.2219074709075,20.323249399662,13.0267250537872,NGA,Nigeria,Ughelli South,Local Government Area
1873,31586.2352294922,32665.353515625,32279.7613525391,31800.4519042969,27114.46484375,22696.2485961914,17458.651550293,14799.6893310547,13549.1989135742,11155.3283691406,9778.98696899414,5470.5560913086,5805.26962280274,11594.4729614258,203503.080505371,0.758469811507634,0.671122853245054,0.696442229407174,4.18387831960406,5.78293447835105,4.50791462830135,NGA,Nigeria,Ngor-Okpala,Local Government Area
1850,46206.4765625,47785.083984375,47221.0146484375,46519.8486328125,39664.8706054688,33201.6049804688,25539.6948242188,21649.9853515625,19820.6826171875,16318.7678222656,14305.3623046875,8002.69873046876,8492.34020996094,16961.177734375,297698.048461914,0.956301331520081,0.890304207801819,0.879524618387222,0.46991254389286,1.19154912233353,0.99754935503006,NGA,Nigeria,Aboh-Mbaise,Local Government Area
1852,30253.4255371094,31267.7561035156,32001.3559570313,31661.2185058594,26845.1826171875,22833.7329101563,17663.8477783203,14582.140625,13267.4617919922,10796.1970214844,9553.93444824219,5447.07293701171,5582.63830566407,11805.381225586,202040.164123535,0.866718590259552,0.84571727514267,0.868077504634857,2.2110055188338,1.88597489595413,1.62087023258209,NGA,Nigeria,Isiala Ngwa North,Local Government Area
1851,18528.5969238281,19319.8776855469,19238.8532714844,18967.8791503906,16074.1428222656,13758.9719238281,10643.4301757813,8866.32031250001,8002.55548095704,6475.00360107422,5699.15081787109,3173.47302246094,3393.4175415039,6575.39526367187,120868.593383789,0.894364252686501,0.857231795787811,0.670502692461014,1.65978145599365,2.10989979902903,5.86162906885147,NGA,Nigeria,Ikwuano,Local Government Area
3891,,,,,,,,,,,,,,,,0.648606598377228,0.698205679655075,0.560901373624802,2.65465188026428,2.18955236673355,8.24210834503174,CMR,Cameroon,Bamendjou,Health District
3894,9855.41683959961,9232.37347412109,8212.84707641602,6230.43594360352,4134.74366760254,2945.29709625244,2605.4550704956,2322.25354003906,1925.77115631104,1642.56938934326,1755.85010910034,1472.64854812622,1246.08723449707,2832.01639556885,37325.975227356,0.599612522125244,0.687644875049591,0.554633325338364,4.21610417366028,2.99158234596252,14.9978329658508,CMR,Cameroon,Bandjoun,Health District
2003,50100.8662452698,49831.0838012695,33365.3212184906,27888.9246311188,23892.7406625748,16387.5900354385,12893.3859286308,8929.27834892273,10794.9716248512,5183.91197061539,9805.11435365677,3278.35006535053,7701.97954893112,9563.15405797958,169684.722446561,0.493835419248053,0.495220012494496,0.496721188170569,139.091458455317,174.552569356646,52.6678911413465,SOM,Somalia,Belet Weyne,District
1085,17071.6304645538,16177.0541210175,14336.9366016388,13229.2799301148,12467.1265249252,10913.3414907455,9059.49387645722,8162.86178207397,6643.91149711609,5277.26019430161,3908.16728591919,2701.4416487217,1804.41955041885,3660.52405929565,92164.7644417286,0.788788815339406,0.79431642804827,0.71047542208717,1.70669934579304,1.72955604252361,4.26460933685303,GHA,Ghana,Jomoro,District
4094,13706.6378173828,12976.92137146,11527.5070343018,10629.7417221069,10077.0574035645,8848.33990669251,7334.13281822205,6637.7861328125,5418.09282112122,4287.54280853271,3157.94653606415,2175.13622379303,1463.58425664902,2969.66023635864,74526.527900219,0.800112593173981,0.801849579811096,0.699369525909424,1.02939784526825,1.13538894802332,9.20247389872869,GHA,Ghana,Ellembelle,District
1088,8257.3528175354,7818.05797195434,6944.67223358154,6403.56578445435,6071.04187011718,5330.40883636475,4417.85570335388,3998.22232437134,3263.34249305725,2582.4907875061,1902.37920856476,1310.21803569794,881.760663032532,1789.24666118622,44895.2046012879,0.78525858266013,0.791276352746146,0.697910453592028,1.44895254714148,1.41604169351714,7.36754577810114,GHA,Ghana,Nzema East,District
4100,17116.4958982468,16206.6567306519,14395.9865474701,13276.4008350372,12583.5653429031,11052.5194263458,9162.86489772797,8293.98194503786,6768.26070785522,5356.56401538849,3945.26460742951,2716.50958490372,1827.02734804153,3707.33998775482,93086.2852458954,0.80328526280143,0.805270514704964,0.753403067588806,1.52661796591499,1.51430521499027,2.94439787169298,GHA,Ghana,Tarkwa Nsuaem,District
1083,16099.8238525391,15145.3692626953,14118.0173950195,12428.9216308594,10867.9839477539,8852.53100585938,7252.87716674805,6782.0775756836,6359.15591430665,5276.47784423828,4112.67730712891,2953.43907165527,2152.48811340332,4683.66802978516,85840.3150024415,0.791482889652252,0.792007756233215,0.742688930034638,1.9186721265316,2.08056384325027,5.34495420455933,GHA,Ghana,Abura / Asebu / Kwamankese,District
331,16031.8725585938,15081.0593261719,14056.2547607422,12374.1685791016,10832.4428710938,8820.98876953125,7228.97277832031,6761.2568359375,6338.65191650391,5260.29547119141,4103.11279296875,2947.99108886719,2150.57379150391,4682.03527832032,85556.7449340821,0.813603977362315,0.809407949447632,0.743672966957092,0.834885458151499,1.02525491515795,4.6576753060023,GHA,Ghana,Mfantsiman,District
5305,6663.00268554688,6267.57971191406,5841.10449218751,5141.95764160157,4505.40124511719,3667.97644042969,3006.67352294922,2812.6010131836,2636.48004150391,2188.17199707031,1707.84173583984,1227.51152038574,896.132247924805,1951.89004516601,35583.7419433594,0.794417768716812,0.804056823253632,0.749974116683006,2.50912673771381,2.00253359973431,4.45863954722881,GHA,Ghana,Ekumfi,District
1875,33845.2221069336,36380.1029052735,32538.8886108399,31638.8471069336,26706.6153564453,23364.6748046875,18511.2156066895,15438.7624206543,13702.6235046387,10559.8781738281,9250.09204101563,4571.94681549072,5409.32131958008,9127.99658203126,200820.862342835,0.477977257966995,0.420952820777893,0.538385710120201,16.370180606842,23.2344855308533,9.65705037117004,NGA,Nigeria,Sagbama,Local Government Area
1853,59465.314819336,63965.6666259766,57360.1644897461,55892.3198852539,47367.1090698242,41534.544128418,32889.2922973634,27362.9260559083,24268.7336425781,18670.1541290283,16332.1714782715,8024.21671295166,9543.90634155273,15888.5710906983,355134.109321595,0.570933185517788,0.482036840170622,0.582956772297621,12.9797978997231,16.4639087915421,8.13127329945564,NGA,Nigeria,Yenegoa,Local Government Area
4006,21291.8239746094,19948.8522949219,17745.0405273438,13478.6013183594,8958.23901367188,6399.4808959961,5649.17681884765,5040.55865478516,4174.91607666015,3563.3681640625,3800.56219482422,3185.05654907227,2695.39813232422,6124.20574951172,80814.604095459,0.535118266940117,0.596662744879723,0.529262743890286,9.265904545784,6.10203772783279,17.1976220607758,CMR,Cameroon,Santchou,Health District
3884,21504.6407470703,20145.1522216797,17920.5336914063,13594.8878173828,9022.0615234375,6426.67443847657,5685.1350402832,5067.18585205078,4202.05638122558,3584.10665893555,3831.28651428222,3213.33721923828,2718.97769165039,6179.49468994141,81445.7375183106,0.626117448012034,0.661764721075694,0.550644179185232,4.0326327085495,3.40995041529338,9.66477310657501,CMR,Cameroon,Baham,Health District
5208,17908.9585876465,14345.5902175903,9163.34288787842,9862.38140106201,8422.36866760254,6168.23756790161,4955.56228637695,3716.16705131531,3892.61532402039,3350.91005706787,1979.20734977722,1786.64926433563,817.535782575608,1127.49242687225,55242.4700667858,0.5,0.5,0.5,41.2139577039083,42.6960015551249,29.2201035881043,CAF,Central African Republic,Gadzi,Sub-Prefecture
4039,233881.521045208,205189.750503063,170630.908342361,99823.5576417446,89611.7102134228,84731.3024258614,67573.270455122,57781.7048584223,41861.9508644343,38082.9075006247,42655.5052745342,34173.7677847147,26712.9407874942,32925.407384038,786564.933532775,0.539026254618319,0.550495930819999,0.485119337155934,28.027026788294,26.8865818890597,38.8275192487233,COD,Democratic Republic of the Congo,Administrative unit not available,
3741,104709.620155335,101274.039138794,76421.1482162476,69127.6304473877,57311.9208030701,56087.0312843323,39497.8771514893,37060.2001609802,24302.9696369171,19929.125541687,14243.1736555099,8777.09646892548,7407.981798172,11387.4507799149,421553.605944634,0.500056304582735,0.500045372053907,0.500045894989239,43.0405422571229,61.2673072127873,37.6161584818717,SSD,South Sudan,Bahr Al Jabal,County
1879,42077.0029296875,43824.2493896485,41477.3742675781,41148.0141601563,37373.9805908203,33123.3383789063,25602.8920898438,20789.6118164063,18098.642578125,14073.7534484863,11979.7602233887,6061.45227050781,6832.28416442871,11282.9331054688,267844.037094116,0.558802151017719,0.529660251405504,0.481204324298435,12.878519905938,14.3610279824999,13.8496106266975,NGA,Nigeria,Emuoha,Local Government Area
1857,49906.681640625,51582.98828125,52916.587890625,52378.294921875,44433.0048828125,37877.77734375,29317.3217773438,24133.3413085938,21928.6875,17810.8593750001,15767.5903320313,8992.30310058594,9195.55297851563,19496.5966796876,334247.918090821,0.846098750829697,0.79183292388916,0.775841176509857,2.37107801437378,3.11677116155624,2.95321750640869,NGA,Nigeria,Osisioma Ngwa,Local Government Area
1854,21967.5334472656,22702.7150878906,23312.2175292969,23073.5227050781,19553.6848144531,16656.2497558594,12891.6293945313,10616.6885986328,9653.93090820313,7847.0765991211,6950.34210205079,3969.65646362305,4055.20498657227,8620.85852050782,147201.06237793,0.736947476863861,0.611918151378632,0.471055924892426,4.40022802352905,7.77661800384522,10.9674472808838,NGA,Nigeria,Isiala Ngwa South,Local Government Area
1858,31258.9597167969,32304.9312744141,33181.5817871094,32842.9375,27831.5627441406,23710.4919433594,18352.2818603516,15110.5914306641,13739.6325073242,11167.0354614258,9891.66162109376,5650.42727661134,5770.59088134766,12273.0883789063,209521.883392334,0.778890490531921,0.759880880514781,0.65395067135493,3.82162057360013,3.56554351250331,7.12814784049988,NGA,Nigeria,Oboma Ngwa,Local Government Area
